37.364157,-1.377716,KATHOME MEDICAL CLINIC,EASTERN,MACHAKOS,KANGUNDO,KAKUYUNI,KATHOME,SUBLOC CENTROID,6,PRIV,9a0ffe56-b030-483b-904a-43eea401c52d
37.32,-1.27,KINYUI DISP,EASTERN,MACHAKOS,MATUNGULU,TALA,KATINE,ILRI VILLAGES,4,PRIV,00fee7c5-24a9-4740-8c55-5c4b43ea0a0a
37.839793,-1.044519,KITHYOKO MEDICAL CLINIC,EASTERN,MACHAKOS,MASINGA,KITHYOKO,KITHYOKO,ILRI MKT CENTRE,6,PRIV,bda083d0-7b40-4035-8ef6-bbd888ede150
37.37,-1.42,KYEVALUKI MEDICAL CLINIC,EASTERN,MACHAKOS,MWALA,VYULYA,VYULYA,ILRI VILLAGES,6,PRIV,4dafb5fb-42e8-474e-9846-48200258f264
37.247723,-1.515176,MACHAKOS MEDICAL CLINIC,EASTERN,MACHAKOS,CENTRAL,MUMBUNI,LOWER KIANDANI,1:50000 MAPS,6,PRIV,9642af10-3d81-444e-9a64-3fe133364ecc
37.217137,-1.236205,MATUU MEDICAL CLINIC,EASTERN,MACHAKOS,MATUNGULU,KOMA ROCK,MATUU(MATUNGULU),SUBLOC CENTROID,6,PRIV,ea68be6b-d535-4bbb-bbe5-cd7813ea145b
37.550644,-1.136476,MATUU MODERN CLINIC,EASTERN,MACHAKOS,YATTA,MATUU,MATUU(YATTA),SUBLOC CENTROID,6,PRIV,bc072335-20cf-43d4-8ab2-69f6588c8b8e
37.403604,-1.242343,MBIUNI MEDICAL CLINIC,EASTERN,MACHAKOS,MWALA,MBIUNI,MBIUNI,1:50000 MAPS,6,PRIV,7026f4e9-db57-4fe9-acee-e8283aea50e2
37.302,-1.12,MUNYU CLINIC,EASTERN,MACHAKOS,MATUNGULU,KYANZAVI,UAMANI,ILRI VILLAGES,6,PRIV,12b8100e-c4a6-433f-add5-802b436c0b0f
37.27,-1.43,MUTITUNI MEDICAL CLINIC,EASTERN,MACHAKOS,KATHIANI,MITABONI,THINU,ILRI VILLAGES,6,PRIV,d89a14f7-0faf-4485-b353-265081a651c7
37.43,-1.07,NZAINI DISP,EASTERN,MACHAKOS,YATTA,MAVOLONI,KISIIKI,ILRI VILLAGES,4,PRIV,f6cd2394-68d7-407c-a920-6b0639cc9fa4
37.260499,-1.2552,ST. LUKE'S MEDICAL CENTRE LABORATORY SERVICES,EASTERN,MACHAKOS,MATUNGULU,NGULUNI,TALA/KITHIMANI,SUBLOC CENTROID,6,PRIV,9ddcdf49-f980-46c6-9d10-7f42c33d92d1
37.355422,-1.259647,TUMAINI MEDICAL CLINIC,EASTERN,MACHAKOS,KANGUNDO,KANGUNDO,NDUNDUNE,ILRI MKT CENTRE,6,PRIV,bd3b2e18-3192-4485-93d9-dfdf4de78fe7
37.562945,-1.406159,WAMUNYU MEDICAL CLINIC,EASTERN,MACHAKOS,YATHUI,WAMUNYU,KAMBITI(MACHAKOS),ILRI MKT CENTRE,6,PRIV,f8c43427-3235-4382-b66e-3c5ebdacefe7
37.7294,-1.91084,AFYA BORA MEDICAL CLINIC,EASTERN,MAKUENI,KATHONZWENI,KATHONZWENI,ITUKA,GPS,6,PRIV,05d9ab85-330d-4fde-80b5-8eaa16d559f2
38.0284,-2.52052,AFYA MEDICAL CLINIC,EASTERN,MAKUENI,KIBWEZI,UTITHI,UTITHI,GPS,6,PRIV,69d9ab36-3aea-482b-8a5f-82288dff431e
37.8181,-2.2761,ALLIANCE HEALTH SERVICES,EASTERN,MAKUENI,MAKINDU,MAKINDU,MANYATTA(MAKUENI),GPS,6,PRIV,fc61a22a-0da4-439d-82cf-753aedfbd97e
38.0756,-2.59146,AMANI HEALTH AND FP CLINIC,EASTERN,MAKUENI,MTITO ANDEI,MTITO-ANDEI,KATHEKANI,GPS,6,PRIV,86c4e12a-34bb-4fff-a93e-a56ee39afc9e
37.437,-1.94368,BARAZANI MEDICAL CENTRE,EASTERN,MAKUENI,MBITINI,MUTYAMBUA,KATANI(MAKUENI),GPS,6,PRIV,501efc2a-6516-4483-abf9-ac6f23556482
37.6264,-1.77996,BECCA MEDICARE CLINIC,EASTERN,MAKUENI,WOTE,WOTE,KAMUNYOLO,GPS,6,PRIV,6464dd8d-5c54-4f5e-9921-1319d1a5c85c
38.1649,-2.68775,DR. DINO KYALO CLINIC,EASTERN,MAKUENI,TSAVO WEST,TSAVO WEST,TSAVO WEST N. PARK,GPS,6,PRIV,12bfb13a-f440-48ec-972e-826f7dc6e4a4
38.02,-2.4,DWA MEDICAL CENTRE,EASTERN,MAKUENI,KIBWEZI,MASONGALENI,MASIMBANI,ILRI VILLAGES,6,PRIV,d3131689-0444-439d-be04-5a3a7705c856
37.3762,-2.01519,EBENEZER MEDICAL CLINIC,EASTERN,MAKUENI,KASIKEU,KIOU,SULTAN HAMUD(MAK),GPS,6,PRIV,dbd6a61b-923f-41cc-8374-69f0bc7f1b00
37.4688,-2.0761,EMALI MEDICAL CLINIC,EASTERN,MAKUENI,MBITINI,EMALI,EMALI(MAKUENI),GPS,6,PRIV,55b6cdb9-41f4-4236-88f6-aebca366cc26
37.4738,-2.07891,EMALI MEDICARE AND LABS,EASTERN,MAKUENI,MBITINI,EMALI,EMALI(MAKUENI),GPS,6,PRIV,d17d1350-50b4-445b-8da3-8ffa2b4b272f
38.1522,-2.41224,EMMANUEL'S MEDICAL CLINIC,EASTERN,MAKUENI,KIBWEZI,MASONGALENI,ULILINZI,GPS,6,PRIV,f5056c69-50de-4873-a8e0-b12add304f90
38.0138,-2.32307,EMMANUEL'S MEDICAL CLINIC AND LAB.,EASTERN,MAKUENI,KIBWEZI,KIKUMBULYU,KATHYAKA,GPS,6,PRIV,284bab5c-ec13-426d-a52e-e6348779593e
37.3138,-1.83887,ENZAI MEDICAL CLINIC,EASTERN,MAKUENI,KILOME,MUKAA,MAIANI,GPS,6,PRIV,288c3bc2-0513-445a-8171-10716c638281
37.3849,-1.94416,FAITH HEALTH SERVICES,EASTERN,MAKUENI,KASIKEU,KASIKEU,KASIKEU,GPS,6,PRIV,fefeaf5f-28e9-48ba-a411-3326a53b8f83
37.901,-2.37701,FAITH MEDICAL CLINIC,EASTERN,MAKUENI,MAKINDU,NGUUMO,NDOVOINI,GPS,6,PRIV,4295c6a6-4fc7-4297-8c8a-c73b7a5b7df4
37.9658,-2.40909,HIGHWAY HEALTHCARE,EASTERN,MAKUENI,KIBWEZI,KIKUMBULYU,MIKUYUNI(MAKUENI),GPS,6,PRIV,1cfda981-8671-442c-a624-28ca985f1eff
37.9011,-2.3779,HIGHWAY MEDICAL CLINIC,EASTERN,MAKUENI,MAKINDU,NGUUMO,KAUNGUNI,GPS,6,PRIV,16f6c0f2-fb69-462e-a4f9-60a66c6f2eec
37.3848,-1.94568,HURUMA MEDICAL CLINIC,EASTERN,MAKUENI,KASIKEU,KASIKEU,KASIKEU,GPS,6,PRIV,fefd2f19-becf-426c-b068-45803941784d
38.0291,-2.52122,HURUMA MEDICAL CLINIC,EASTERN,MAKUENI,KIBWEZI,UTITHI,UTITHI,GPS,6,PRIV,641e5bef-788e-4692-9d9e-93592b2549b5
37.822,-2.27695,JACOB MEDICAL CLINIC,EASTERN,MAKUENI,MAKINDU,MAKINDU,MANYATTA(MAKUENI),GPS,6,PRIV,ca442776-2c70-4152-976f-5907cf2a83aa
37.5421,-1.66148,JAMII MEDICARE CLINIC,EASTERN,MAKUENI,KISAU,KISAU,NGONI,GPS,6,PRIV,0d8d931f-2576-42a4-80d1-05c9714fbdc1
38.1402,-2.66388,JEVICE HEALTH CARE,EASTERN,MAKUENI,MTITO ANDEI,MTITO-ANDEI,KATHEKANI,GPS,6,PRIV,eecfcd4e-b3cf-48aa-b8d9-034283b926cf
38.0762,-2.59407,KAMBU MEDICAL CLINIC,EASTERN,MAKUENI,MTITO ANDEI,MTITO-ANDEI,KATHEKANI,GPS,6,PRIV,cbcbe7d1-4a6d-4e56-9425-485f63c83ee9
